,Mkt-RF,SMB,HML,RMW,CMA,RF
2017-03-06,-0.38,-0.41,-0.1,-0.06,0,0.001
2017-03-07,-0.36,-0.35,-0.05,0.12,-0.24,0.001
2017-03-08,-0.19,-0.17,-0.82,0.53,-0.72,0.001
2017-03-09,0.04,-0.52,-0.28,-0.6,-0.16,0.001
2017-03-10,0.34,0.05,-0.39,0.27,0.02,0.001
2017-03-13,0.13,0.33,-0.02,-0.11,0.05,0.001
2017-03-14,-0.36,-0.22,0.02,0.51,-0.24,0.001
2017-03-15,0.86,0.71,-0.41,-0.16,0.55,0.001
2017-03-16,-0.06,0.44,0.24,-0.08,-0.37,0.001
2017-03-17,-0.08,0.56,-0.26,0.19,-0.03,0.001
2017-03-20,-0.25,-0.16,-0.75,-0.18,-0.04,0.001
2017-03-21,-1.48,-1.41,-0.69,0.77,0.29,0.001
2017-03-22,0.16,-0.33,-0.54,0.18,-0.12,0.001
2017-03-23,-0.03,0.74,0.46,-0.01,0.19,0.001
2017-03-24,-0.05,0.11,-0.24,-0.28,-0.32,0.001
2017-03-27,-0.05,0.47,-0.52,-0.23,-0.28,0.001
2017-03-28,0.72,-0.06,0.71,0.01,0.38,0.001
2017-03-29,0.18,0.32,-0.07,-0.34,0.13,0.001
2017-03-30,0.36,0.4,0.93,-0.12,-0.14,0.001
2017-03-31,-0.16,0.55,-0.3,0.1,0.08,0.001
2017-04-03,-0.28,-1.15,-0.11,-0.17,-0.08,0.003
2017-04-04,0.05,-0.24,0.31,-0.12,0.16,0.003
2017-04-05,-0.44,-0.83,-0.3,0.4,-0.08,0.003
2017-04-06,0.32,0.75,0.49,-0.13,0.36,0.003
2017-04-07,-0.08,0.08,-0.26,0.03,-0.03,0.003
2017-04-10,0.08,0.15,0.1,0.17,0.48,0.003
2017-04-11,-0.05,0.8,0.25,0.2,0.19,0.003
2017-04-12,-0.49,-0.94,-0.52,-0.08,-0.54,0.003
2017-04-13,-0.75,-0.33,-0.79,0.03,-0.35,0.003
2017-04-17,0.89,0.29,0.22,0.09,-0.14,0.003
2017-04-18,-0.25,0.3,-0.16,0.34,0.11,0.003
2017-04-19,-0.08,0.56,-0.38,0.45,-0.84,0.003
2017-04-20,0.83,0.58,0.27,0.3,-0.19,0.003
2017-04-21,-0.28,0.05,-0.13,0.35,-0.21,0.003
2017-04-24,1.18,0.27,0.52,-0.01,0.14,0.003
2017-04-25,0.66,0.39,-0.05,-0.38,0.29,0.003
2017-04-26,0.04,0.75,0.32,0.23,0.01,0.003
2017-04-27,0.05,-0.21,-0.96,0.23,-0.59,0.003
2017-04-28,-0.3,-0.74,-0.59,0.02,-0.21,0.003
2017-05-01,0.21,0.25,-0.13,-0.16,-0.51,0.003
2017-05-02,0.03,-0.46,-0.21,0.43,-0.34,0.003
2017-05-03,-0.19,-0.52,0.2,-0.04,0.11,0.003
2017-05-04,0.02,-0.11,-0.35,0.47,-0.71,0.003
2017-05-05,0.46,0.09,0.04,-0.27,0.64,0.003
2017-05-08,-0.04,-0.23,0.29,0.01,0.02,0.003
2017-05-09,-0.05,0.39,-0.79,0.38,-0.36,0.003
2017-05-10,0.21,0.25,0.01,-0.33,0.35,0.003
2017-05-11,-0.26,-0.4,-0.14,-0.33,-0.02,0.003
2017-05-12,-0.18,-0.38,-0.62,-0.27,-0.33,0.003
2017-05-15,0.53,0.26,0.19,-0.33,0.03,0.003
2017-05-16,-0.03,0.11,-0.09,-0.22,-0.14,0.003
2017-05-17,-1.97,-0.98,-0.53,0.51,0.3,0.003
2017-05-18,0.4,-0.01,-0.4,-0.32,-0.6,0.003
2017-05-19,0.7,-0.32,0.41,-0.09,0.77,0.003
2017-05-22,0.56,0.25,-0.31,0.03,-0.33,0.003
2017-05-23,0.18,-0.01,0.61,-0.24,0.09,0.003
2017-05-24,0.24,-0.22,-0.49,0.18,-0.31,0.003
2017-05-25,0.42,-0.35,-0.77,0.67,-0.62,0.003
2017-05-26,0.06,-0.02,0.09,0.2,0.15,0.003
2017-05-30,-0.19,-0.54,-0.32,0.67,-0.01,0.003
2017-05-31,-0.02,-0.05,-0.56,0.32,-0.08,0.003
2017-06-01,0.95,1,0.04,-0.22,0.04,0.003
2017-06-02,0.35,0.41,-0.8,0.3,-0.49,0.003
2017-06-05,-0.17,-0.46,0,-0.2,0.02,0.003
2017-06-06,-0.28,0.1,-0.07,-0.57,0.35,0.003
2017-06-07,0.15,-0.13,0.02,0.56,-0.68,0.003
2017-06-08,0.18,1.2,0.92,-0.68,-0.03,0.003
2017-06-09,-0.12,0.28,2.39,-0.22,1.12,0.003
2017-06-12,-0.11,-0.19,0.35,0.01,0.61,0.003
2017-06-13,0.55,0.06,-0.14,-0.28,-0.09,0.003
2017-06-14,-0.17,-0.54,-0.55,0.18,-0.51,0.003
2017-06-15,-0.3,-0.3,-0.12,0.04,-0.07,0.003
2017-06-16,-0.03,-0.25,-0.18,-0.55,0.14,0.003
2017-06-19,0.86,0.11,-0.75,0.01,-0.08,0.003
2017-06-20,-0.73,-0.44,-0.51,-0.2,-0.25,0.003
2017-06-21,-0.07,-0.22,-1.69,-0.12,-1.15,0.003
2017-06-22,0.02,0.46,-0.42,-0.1,-0.05,0.003
2017-06-23,0.24,0.74,-0.5,-0.39,0.04,0.003
2017-06-26,0.04,0.07,0.69,0.25,0.19,0.003
2017-06-27,-0.85,-0.21,1.33,0.35,0.33,0.003
2017-06-28,1.02,0.8,0.21,-0.14,-0.08,0.003
2017-06-29,-0.83,0.08,1.38,-0.24,0.35,0.003
2017-06-30,0.14,-0.1,-0.24,0.21,0.29,0.003
2017-07-03,0.24,0.46,1.21,-0.53,0.65,0.004
2017-07-05,0.12,-0.71,-0.57,0.14,-0.69,0.004
2017-07-06,-0.95,-0.45,0.12,0.21,-0.03,0.004
2017-07-07,0.7,0.4,-0.41,0.22,-0.52,0.004
2017-07-10,0.05,-0.44,-0.09,-0.12,-0.11,0.004
2017-07-11,0,0.31,-0.53,-0.31,0.15,0.004
2017-07-12,0.72,0.06,-0.53,0.11,-0.23,0.004
2017-07-13,0.17,-0.01,0.36,0.03,0.2,0.004
2017-07-14,0.42,-0.22,-0.51,0.18,0.03,0.004
2017-07-17,0,0.22,0.13,0.19,0.07,0.004
2017-07-18,0.04,-0.38,-0.33,-0.1,-0.41,0.004
2017-07-19,0.59,0.48,0.03,-0.24,0.13,0.004
2017-07-20,-0.01,0.05,-0.01,0.1,-0.23,0.004
2017-07-21,-0.08,-0.44,-0.28,0.04,-0.28,0.004
2017-07-24,-0.03,0.12,-0.2,-0.2,-0.38,0.004
2017-07-25,0.38,0.44,0.92,-0.18,0.7,0.004
2017-07-26,-0.06,-0.46,-0.7,-0.18,0.04,0.004
2017-07-27,-0.14,-0.64,0.45,0.25,0.42,0.004
2017-07-28,-0.17,-0.08,0.24,-0.2,0.18,0.004
2017-07-31,-0.11,-0.26,0.44,-0.12,0.15,0.004
2017-08-01,0.24,-0.18,0.18,0.24,-0.48,0.004
2017-08-02,-0.08,-1.15,0.15,0.08,-0.35,0.004
2017-08-03,-0.21,-0.34,-0.29,0.3,-0.27,0.004
2017-08-04,0.25,0.34,0.36,-0.15,0.03,0.004
2017-08-07,0.16,-0.1,-0.61,0.29,-0.37,0.004
2017-08-08,-0.24,-0.1,0.21,-0.32,-0.14,0.004
2017-08-09,-0.14,-0.8,-0.1,0.1,0.04,0.004
2017-08-10,-1.49,-0.31,0.26,0.25,0.13,0.004
2017-08-11,0.2,0.17,-0.88,0.38,-0.12,0.004
2017-08-14,1.03,0.28,0.06,0,-0.45,0.004
2017-08-15,-0.11,-0.86,-0.04,-0.15,-0.25,0.004
2017-08-16,0.18,-0.15,-0.45,0.32,-0.13,0.004
2017-08-17,-1.59,-0.16,-0.15,-0.03,0.13,0.004
2017-08-18,-0.15,0.14,0.21,-0.27,-0.01,0.004
2017-08-21,0.06,-0.29,-0.22,0.17,-0.09,0.004
2017-08-22,1.06,-0.02,-0.25,-0.2,0.11,0.004
2017-08-23,-0.32,0.14,0.4,-0.48,0.09,0.004
2017-08-24,-0.14,0.58,0.18,-0.47,0.09,0.004
2017-08-25,0.18,0.18,0.58,0.16,0.26,0.004
2017-08-28,0.08,0.32,-0.74,0.21,-0.19,0.004
2017-08-29,0.1,0.09,-0.39,0.03,0.1,0.004
2017-08-30,0.53,0.01,-0.32,0.1,-0.46,0.004
2017-08-31,0.62,0.39,-0.42,-0.29,-0.1,0.004
2017-09-01,0.27,0.44,0.44,-0.06,0.35,0.005
2017-09-05,-0.81,-0.01,-0.95,-0.07,0.54,0.005
2017-09-06,0.28,-0.02,0.13,-0.32,0.09,0.005
2017-09-07,-0.07,0.02,-0.93,0.01,0.08,0.005
2017-09-08,-0.16,0.12,0.36,0.25,-0.14,0.005
